starting slam
[INFO] [1746827972.088807]: [run_auto] Mapping - drive the vehicle, Ctrl-C when done …
est:  [0.20135466832607868, -0.0005640664131445807, -0.015180111576742917]
act:  [0.2604236973274241, 0.16840575367342447, -0.009999999999999787]
est:  [0.20135466832607868, -0.0005640664131445807, -0.01568031276942368]
act:  [0.2864142252511166, 0.1853318417698453, -0.008999999999999897]
est:  [0.20135466832607868, -0.0005640664131445807, -0.015615773682895469]
act:  [0.30437189835750766, 0.19621862167044002, -0.0019999999999997797]
est:  [0.20135466832607868, -0.0005640664131445807, -0.015409222376163016]
act:  [0.3095026621021906, 0.199329130213467, 0.0009999999999998899]
est:  [0.20135466832607868, -0.0005640664131445807, -0.01543567520958057]
act:  [0.31035778939297165, 0.19984754830397167, 0.0040000000000000036]
est:  [0.20135466832607868, -0.0005640664131445807, -0.015524169457851067]
act:  [0.31035778939297165, 0.19984754830397167, -0.0009999999999998899]
est:  [0.20135466832607868, -0.0005640664131445807, -0.015388412284606946]
act:  [0.31035778939297165, 0.19984754830397167, 0.002000000000000224]
est:  [0.20350966468586773, -0.0005972456527205355, -0.01539520848203513]
act:  [0.31035778939297165, 0.19984754830397167, -0.0030000000000001137]
est:  [0.23010843177728932, -0.0010059522978917322, -0.015364414552889968]
act:  [0.3166803896287109, 0.2048500203187884, -0.0019999999999997797]
est:  [0.24315258900120262, -0.0012094056041831007, -0.015596010293368214]
act:  [0.32181115337339383, 0.2079605288618156, -0.0030000000000001137]
est:  [0.24315258900120262, -0.0012094056041831007, -0.015620614884903005]
act:  [0.32608678982729655, 0.2105526193143381, -0.0009999999999998899]
est:  [0.24315258900120262, -0.0012094056041831007, -0.015624962746003855]
act:  [0.3303624262811997, 0.21314470976686084, -0.0030000000000001137]
est:  [0.2553284812993578, -0.0013898073970797275, -0.014815225811354941]
act:  [0.34404446293368807, 0.22143939921493305, -0.0009999999999998899]
est:  [0.26190922851455845, -0.0015232661180195873, -0.02027739776959347]
act:  [0.35378757233254987, 0.22851554359176784, -0.005999999999999783]
est:  [0.2708897934131315, -0.001703636651195113, -0.020081842058717422]
act:  [0.39517039149029154, 0.2547731573172698, -0.0009999999999998899]
est:  [0.32462203251287486, -0.0027083272169117698, -0.01869591740206912]
act:  [0.45451088375442383, 0.291917550943366, 0.002000000000000224]
est:  [0.44308250930974324, -0.004571576823087804, -0.015727574504096318]
act:  [0.5386500674511923, 0.3440960691940944, 0.007000000000000117]
est:  [0.4809590286628853, -0.00532994928608743, -0.02001955721016391]
act:  [0.6318589421462701, 0.40060364105908675, 0.015000000000000124]
est:  [0.6067779036097536, -0.008329813381106289, -0.02383820265913502]
act:  [0.7014609618997691, 0.44396905177123736, 0.020000000000000018]
